Logger, innatarasyan:         	Automatically truncated logfile to 1048576, MadelineProto 8.4.20
UpdateHandler, innatarasyan:  	Parsing updates (updateShort) received via the socket...
FeedLoop, innatarasyan:       	Resumed update feed loop generic
UpdateHandler, innatarasyan:  	Saving update of type updateUserStatus
UpdateHandler, innatarasyan:  	Parsing updates (updates) received via the socket...
SeqLoop, innatarasyan:        	Was fed updates of type updates...
UpdateHandler, innatarasyan:  	Parsing updates (updateShort) received via the socket...
FeedLoop, innatarasyan:       	Resumed update feed loop channel -1001290362028
UpdateHandler, innatarasyan:  	Saving update of type updateNewChannelMessage
UpdateHandler, innatarasyan:  	Parsing updates (updates) received via the socket...
SeqLoop, innatarasyan:        	Was fed updates of type updates...
FeedLoop, innatarasyan:       	Resumed update feed loop channel -1001290362028
FeedLoop, innatarasyan:       	Getdiff fed me message of type message in update feed loop channel -1001290362028...
FeedLoop, innatarasyan:       	Resumed update feed loop channel -1001290362028
UpdateHandler, innatarasyan:  	Saving update of type updateNewChannelMessage
UpdateHandler, innatarasyan:  	Saving update of type updateDeleteChannelMessages
AbstractServer, innatarasyan: 	Accepted IPC client connection!
SessionPaths, innatarasyan:   	Waiting for exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/safe.php.lock...
SessionPaths, innatarasyan:   	Got exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/safe.php.lock...
SessionPaths, innatarasyan:   	Waiting for exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/lightState.php.lock...
SessionPaths, innatarasyan:   	Got exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/lightState.php.lock...
APIWrapper, innatarasyan:     	Saved session!
AbstractServer, innatarasyan: 	Accepted IPC client connection!
SessionPaths, innatarasyan:   	Waiting for exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/safe.php.lock...
SessionPaths, innatarasyan:   	Got exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/safe.php.lock...
SessionPaths, innatarasyan:   	Waiting for exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/lightState.php.lock...
SessionPaths, innatarasyan:   	Got exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/lightState.php.lock...
APIWrapper, innatarasyan:     	Saved session!
UpdateHandler, innatarasyan:  	Parsing updates (updates) received via the socket...
SeqLoop, innatarasyan:        	Was fed updates of type updates...
FeedLoop, innatarasyan:       	Resumed update feed loop channel -1001290362028
UpdateHandler, innatarasyan:  	Saving update of type updateNewChannelMessage
AbstractServer, innatarasyan: 	Accepted IPC client connection!
SessionPaths, innatarasyan:   	Waiting for exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/safe.php.lock...
SessionPaths, innatarasyan:   	Got exclusive lock of /home/user/PhpstormProjects/CryptoTrading/bot.madeline/safe.php.lock...
